,Student,Milestone,Attempts
173,ala,M3,4
174,ala,M4,2
175,ala,M5,1
176,ala,M6,4
177,ala,M7,2
178,ala,M8,26
179,ala,M9,2
180,ala,M10,1
181,ala,M11,0
182,ala,M12,1
183,ala,M13,3
184,ala,M14,0
185,ala,M15,0
186,ala,M16,0
187,fin,M0,5
188,fin,M1,1
189,fin,M2,1
190,fin,M3,1
191,fin,M4,4
192,fin,M5,0
193,fin,M6,1
194,fin,M7,4
195,fin,M8,22
196,fin,M9,13
197,fin,M10,2
198,fin,M11,2
199,fin,M12,1
200,fin,M13,1
201,fin,M14,0
202,fin,M15,1
203,fin,M16,2
204,sel,M0,6
205,sel,M1,6
206,sel,M2,1
207,sel,M3,5
208,sel,M4,1
209,sel,M5,1
210,sel,M6,5
211,sel,M7,1
212,sel,M8,10
213,sel,M9,1
214,sel,M10,2
215,sel,M11,2
216,sel,M12,2
217,sel,M13,5
218,sel,M14,3
219,sel,M15,3
220,sel,M16,1
221,has,M0,2
222,has,M1,2
223,has,M2,1
224,has,M3,3
225,has,M4,1
226,has,M5,1
227,has,M6,3
228,has,M7,0
229,has,M8,9
230,has,M9,1
231,has,M10,0
232,has,M11,1
233,has,M12,0
234,has,M13,2
235,has,M14,1
236,has,M15,0
237,has,M16,0
238,mit,M0,2
239,mit,M1,5
240,mit,M2,1
241,mit,M3,6
242,mit,M4,6
243,mit,M5,1
244,mit,M6,6
245,mit,M7,6
246,mit,M8,8
247,mit,M9,20
248,mit,M10,1
249,mit,M11,1
250,mit,M12,1
251,mit,M13,6
252,mit,M14,4
253,mit,M15,1
254,mit,M16,4
255,ged,M0,1
256,ged,M1,3
257,ged,M2,1
258,ged,M3,3
259,ged,M4,1
260,ged,M5,1
261,ged,M6,3
262,ged,M7,2
263,ged,M8,18
264,ged,M9,5
265,ged,M10,1
266,ged,M11,0
267,ged,M12,0
268,ged,M13,3
269,ged,M14,1
270,ged,M15,0
271,ged,M16,0
272,ama,M0,3
273,ama,M1,4
274,ama,M2,1
275,ama,M3,4
276,ama,M4,3
277,ama,M5,1
278,ama,M6,4
279,ama,M7,3
280,ama,M8,16
281,ama,M9,9
282,ama,M10,1
283,ama,M11,1
284,ama,M12,1
285,ama,M13,4
286,ama,M14,1
287,ama,M15,1
288,ama,M16,1
289,tay,M0,3
290,tay,M1,3
291,tay,M2,1
292,tay,M3,3
293,tay,M4,1
294,tay,M5,1
295,tay,M6,3
296,tay,M7,1
297,tay,M8,8
298,tay,M9,0
299,tay,M10,1
300,tay,M11,1
301,tay,M12,4
302,tay,M13,3
303,tay,M14,7
304,tay,M15,0
305,tay,M16,7
306,bur,M0,3
307,bur,M1,5
308,bur,M2,1
309,bur,M3,5
310,bur,M4,1
311,bur,M5,1
312,bur,M6,5
313,bur,M7,1
314,bur,M8,15
315,bur,M9,1
316,bur,M10,1
317,bur,M11,1
318,bur,M12,1
319,bur,M13,5
320,bur,M14,0
321,bur,M15,1
322,bur,M16,1
323,bau,M0,3
324,bau,M1,2
325,bau,M2,1
326,bau,M3,2
327,bau,M4,1
328,bau,M5,1
329,bau,M6,2
330,bau,M7,0
331,bau,M8,12
332,bau,M9,1
333,bau,M10,0
334,bau,M11,1
335,bau,M12,0
336,bau,M13,3
337,bau,M14,1
338,bau,M15,0
339,bau,M16,0
340,bob,M0,1
341,bob,M1,4
342,bob,M2,1
343,bob,M3,4
344,bob,M4,2
345,bob,M5,1
346,bob,M6,4
347,bob,M7,2
348,bob,M8,14
349,bob,M9,5
350,bob,M10,1
351,bob,M11,1
352,bob,M12,0
353,bob,M13,4
354,bob,M14,2
355,bob,M15,1
356,bob,M16,2
357,cas,M0,3
358,cas,M1,3
359,cas,M2,1
360,cas,M3,3
361,cas,M4,1
362,cas,M5,1
363,cas,M6,3
364,cas,M7,0
365,cas,M8,20
366,cas,M9,1
367,cas,M10,1
368,cas,M11,1
369,cas,M12,1
370,cas,M13,3
371,cas,M14,1
372,cas,M15,1
373,cas,M16,1
374,tai,M0,1
375,tai,M1,13
376,tai,M2,1
377,tai,M3,16
378,tai,M4,8
379,tai,M5,1
380,tai,M6,16
381,tai,M7,8
382,tai,M8,26
383,tai,M9,19
384,tai,M10,4
385,tai,M11,1
386,tai,M12,1
387,tai,M13,13
388,tai,M14,3
389,tai,M15,1
390,tai,M16,3
391,kov,M0,2
392,kov,M1,3
393,kov,M2,1
394,kov,M3,3
395,kov,M4,11
396,kov,M5,1
397,kov,M6,3
398,kov,M7,11
399,kov,M8,12
400,kov,M9,41
401,kov,M10,1
402,kov,M11,1
403,kov,M12,1
404,kov,M13,3
405,kov,M14,1
406,kov,M15,1
407,kov,M16,1
408,xen,M0,3
409,xen,M1,7
410,xen,M2,1
411,xen,M3,7
412,xen,M4,2
413,xen,M5,1
414,xen,M6,7
415,xen,M7,2
416,xen,M8,7
417,xen,M9,4
418,xen,M10,0
419,xen,M11,1
420,xen,M12,0
421,xen,M13,7
422,xen,M14,1
423,xen,M15,0
424,xen,M16,0
